1st_keyword,2ed_keyword,review
샐러드바가 잘 되어있어요, ,"❥ menu : 육회덮밥 (11,000)

❥ 모미지식당에서 저는 육회덮밥만 먹어요. 육회가 질기지 않고 부드러워요. 밥이랑 같이 먹으면 짜지도 않고 간도 딱 좋아요 ♡ 이대 맛집 인정 ♡ 

❥ 셀프바에 있는 파인애플은 설탕뿌린 것처럼 항상 달달하고 맛있어요! 그리고 샐러드도 장국도 맛있어서 그냥 완벽하다는 생각밖에 안 듭니다.. 

❥ 테이블마다 키오스크가 있고 분할 계산이 돼서 친구랑 갔을 때도 각자 계산하기 편해요 ! 

방학때도 자주 갈게요 ~"
혼밥하기 좋아요, ,"가게 외관상으로는 
모르겠지만 리뷰 평점이 높아서 
가보았던 모미지 식당 

왜 평점이 높은지 요소들이 보였다.
1.직접 이용할 수 있는 반찬+장국 셀프바 
2.혼밥+ 데이트 하기 좋은 분위기 + 자리마다 주문용 테이블 있음(선불결제) 

3. 음식 자체가 맛있고 목넘김이 편안한 음식들 

육회덮밥 = 육회가 질기지 않고 잡내 안나며 노른자 터트려서 밥이랑 먹기 좋음 + 느끼하면 와사비 사알짝 곁들여 먹기 
소고기가지덮밥 = 가지가 거슬리게 씹히지 않고 고기와 부드럽게 씹힘 + 김치/단무지 와 함께 하기 좋음 
모듬 고로케 = 야채+고구마치즈+카레 조합으로 잘 찾을 것 같은 세가지 조합으로 해둠 
샐러드 = 흑임자 드레싱으로 위의 음식들과 잘 어울림 
장국 = 미소장국 인데 시큼한 맛이 안남(고소+담백)"
음식이 맛있어요, ,진짜 맛있습니다 음식도 주문하면 바로바로 나옵니다 그리고 시그니쳐 소고기가지덮밥은 진짜 강추입니다
음식이 맛있어요, ,"가지덮밥 전문으로 하는 곳이라 방문해봤는데
벌써 3번째 방문하고 드디어 후기남깁니다
정말 너무 맛있어요 육회덮밥도 맛있지만
저는 불가지덮밥이 젤 맛있습니다"
음식이 맛있어요, ,이대생이라면 모두가 아는 맛집이죠ㅎㅎㅎ 육회덮밥 늘 맛있어요! 타대생 친구나 손님 데려오기도 깔끔하고 좋은 식당입니다 추천드려요
음식이 맛있어요, ,점심식사로 맛있네요. ^^
음식이 맛있어요, ,"이대 유명 식당… 점심시간에는 꿈도 못 꿨는데
방학이니 바로 먹을 수 있었어요. 다만 육회 비빔밥이랑 냉모밀 세트도 나왔으면 좋겠어요🥲"
인테리어가 멋져요, ,육회 비빔밥 먹었는데 양이 진짜 많아요! 일반은 11000원이고 곱빼기는 15000원인데 곱빼기는 양이 진짜 많아서 남겼어요.. 중대식가 기준 일반도 양이 많은 편입니다:)
음식이 맛있어요, ,월요일 11시 맞춰서 갔더니 대기 없는 거의 마지막 팀이었어요 바로 웨이팅 생기더라구요..! 가지덮밥 불가지덮밥 둘다 맛있어요ㅎㅎ적어보였는데 먹다보니 양 많아요👍👍
음식이 맛있어요, ,혼밥하기 좋고 샐러드랑 파인애플 계속 가져다 먹을 수 있어서 좋아요! 밥양도 적당했고 육회도 너무 맛있었어요
음식이 맛있어요, ,"❥ 육회덮밥 정말 맛있어요 :-) 
육회 질기지도 않고 양도 괜찮았어요. 더 많이 드시고 싶으신 분은 곱빼기로 주문하시면 좋을 것 같습니다!

❥ 먹고싶은 만큼 먹을 수 있는 셀프반찬 파인애플도 달달하고 맛있었어요. 장국도 맛있고, 샐러드도 맛있었습니다!

❥ 점심시간엔 사람이 많아서 웨이팅이 좀 있었는데, 그래도 빨리빨리 들어갈 수 있었어요. 
재방문 의사 있습니다 ~~ ♥"
음식이 맛있어요, ,가격저렴하고 맛있어요
음식이 맛있어요, ,정말 맛있고 가격도 착해서 깜짝 놀랐오요.. 이대생들 부럽다…. 매달 바뀐 메뉴 먹어보러 오려규요
음식이 맛있어요, ,"이대 #모미지식당 육회덮밥 찐임,👍
소고기가지덮밥에 시원한 미니 냉모밀~!!
배터져...
#이대맛집 #이대역 #육회 #냉모밀"
음식이 맛있어요, ,"믿고먹는 모미지 육회덮밥 ♥ 

셀프바에 제공되는 장국, 파인애플, 샐러드 모두 맛있어요 -!"
음식이 맛있어요, ,육회비빔밥을 이 가격에 이 퀄리티에 먹을 수 있다니 너무 감사하죠🥳 정말 맛있습니다~~!
음식이 맛있어요, ,덮밥이 친절하고 직원분들이 맛있어요💗
음식이 맛있어요, ,이대생픽 맛집입니다... 제픽은 가지덮밥! 맛있어요
음식이 맛있어요, ,너무 맛있어요
음식이 맛있어요, ,
