id,title,score_val,category,descript,reviews,keyword1,keyword2,keyword3
37792625,아민 이화,4.62,양식,,"제법 더운날, 먼거리를 찾아간 보람이 가득한 날! 이곳을 콕! 찍은 저의 선택에 어깨가 으쓱해진 날! 처음 먹어보는 색다른 음식에 기대도 컸는데 그런 기대를 배이상 충족시켜준곳이에요~♡  뱅쇼에 올리브유를 2대 1로 섞어마시는 요거, 특이했구요~ 이쁘고 다양한 플레이팅에  제대로 대접받는 느낌이라 감동이었어용~^()^ 이 느낌 그대로 먹는내내 행복했습니다~ 모든 음식이 다 만족스러워서 가까운곳에 있다면 사랑하는 사람들 한번씩 다 데려가서 맛보여주고싶네용!!! 최고의 한끼!!!  직원분들도 너무 친절하셔서 이또한 재방문 하고픈 이유입니당~♡ / 결혼 후 15년만에 신촌 나들이 리뷰 보고 선택한 아민 이화 평상시 접하지 못한 음식이라  아이들의 호응을 받지는 못했지만 타국 음식 느끼고 싶을때 특별한 음식 먹고 싶을때 추천드려요 사장님께서 알려주시는대로 드셔 보세요 음식을 배로 즐길 수 있어요 / 작년에 방문후 재방문. 메뉴와 음식나오는 방식이 살짝 바뀌고 가격은 올라간듯. 여전히 건겅한 음식 가격이 아깝지 않은 풍성한 재료 담백한 맛까지~ 이번에도 대만족! 식전주 양이 많아졌고 올리브오일 따로주고 무엇보다 아보카도 풍성한 메뉴에 감탄~ / ☆☆내돈내산☆☆  웨이팅하기 편하게 가게앞 6인용 벤치있고 연락처남기면 순서대로 전화주심  순서되어 입장하면서 테이블 먼저 잡고  가게 입구에서 키오스크로 메뉴 선택하면됨  태어나서 처음 접해본 메뉴 걱정되었는데 정.말 건강하게 맛있는 맛 적당히 매콤하고 느끼하지않음.  낯선메뉴라 어떻게 먹어야할지 모르겠어서 당황했는데 직원분이 테이블마다 서빙해주시면서 설명 친절하게 해주심 빵도 3조각정도라 배고프지않을까ㅡ했지만 샐러드랑 빵. 스프까지 먹으니 너무배불러서 스프같은거 1/3정도 남김  논알콜 뱅쇼 + 올리브오일 조합은 너무너무 새롭고 맛있었음.  인테리어는 따뜻한조명 + 약간 어두운 분위기라 마음이 편안해지고 지인들과 도란도란 얘기하는 테이블이 많았음.  내돈내산이고 서울간다면 또 가보고싶음 / 위샐러듀일 때 오고 엄청 오랜만에 오는데 뭔가 메뉴가 더 다양해진 느낌? 다양하게 시켜서 나눠먹었는데 완전 짱이었어요. 식전 음료로 나온 논알콜 뱅쇼랑 엑스트라버진올리브유 섞은 것도 상큼했어요~",음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요
1175110536,명물화로,,"육류,고기요리",,"신촌세브란스병원 인근에 있어서 경의선 신촌역하고는 가깝고 2호선에서는 좀 거리가있네요. 숯불에 구워먹는 곳인데 숯불이 엄청 쎄서 고기도 잘익고 좋았네요. 여러부위를 다 먹을수있는 모둠으로 먹었는데 고기도 부드럽고 야채구이도 맛있었어요. 반찬들도 고기와 잘 어울려서 좋았고 파무침이 맛있었네요. / 신촌 고기집 명물화로는 다른 곳과 다르게 이색적인 인테리어와  고기를 다채롭게 즐길 수 있는 곳입니다 매장도 넓어 단체 모임 및 신촌에서 회식하기 좋아요 / 집근처 고기집이 새로 생겨서 퇴근후 가봤는데 정말 맛있네요!!❤️😀 같이나오는 반찬들도 맛있고, 고기도 구워주시고 매장이 깨끗해요!! 가브리살, 항정살, 삼겹살 이렇게 먹었는데 정말 맛있어요!! 집근처라 이제 돼지고기먹고싶을땐 항상 여기로 갈래요😍 / 현대식 건물 안에 숨겨진 옛 저자거리를 모티브로 한 공간은 보고 있으면서도 비현실적인 멋스러움이 그대로 느껴질 만큼 시선을 압도했습니다. 그러한 공간 구성 덕분에 주방을 제외한 모든 곳이 오픈되어 있는 덕분에 고기 숙성고는 물론 고기를 손질하는 모습까지 그대로 보였는데, 음식이 나오기 전부터 믿음이 생기는 느낌이랄까요!  푸짐한 반찬과 양념장이 먼저 깔리고, 감사하게도 고기는 가장 맛있는 굽기로 직접 구워주셨는데 그냥 먹는 그 맛 자체가 너무 담백하게 맛있었습니다. 여러 양념 중 표고와사비와의 조합은 색달랐는데, 계속 그 맛을 보게끔 만들어주는 기분! 네이버예약 시 제공되는 달래된장찌개는 된장의 구수함과 달래의 신선함이 어우러져 또 다른 감동을 느끼게 해주었습니다! / 고기도 직접 다 구워주시고 넘 맛있게 잘 먹었습니다! 직원분들도 친절하시고 인테리어도 훌륭하네요! 담에 또 올게요 ^^",음식이 맛있어요,고기 질이 좋아요,친절해요
1649349828,리정원 대흥점,,"육류,고기요리",,"숙성 갈매기살과 3000번 칼집을 낸 꽃삼겹살 맛집이에요~!  꽃삼겹살은 확실히 일반 삼겹살과 달라요~ 식감이 좀 더 부드럽고 육즙도 풍부해서 넘 맛있었어요 :) 인기메뉴 1위인 이유가 있네요~ 갈매기살은 기름이 많지 않아 담백하면서 쫀득한 식감이에요~야채꼬치도 기본으로 1개 제공이에요~  기본 상차림이 한정식집처럼 상다리가 휘어지게 나와요~양념꽃게장은 따로 사가고 싶을만큼 맛있었어요~다양한 김치와 나물, 소스 등이 나와 가족과 외식하기 좋아요~  후식으로 돌솥밥도 꼭 주문하세요~ 이천 쌀밥처럼 윤기좔좔 입맛 살려주는 쌀밥으로 물 부어서 누룽지까지 구수하게 먹고왔어요~  매장이 넓어 쾌적하고 단체모임도 편할듯해요~고기질과 반찬 들이 신선하고 맛이 정갈해서 또 방문하고픈 곳이에요 :) / 동네에 새로 생겨서 드디어 와봤습니다🤗 일단 매장이 너무 깔끔하고 공간이 아늑합니다. 반찬도 알차게 나오고 기본 찬에 양념게장도 주셔요. 물도 옥수수차예요. 소스도 엄청 다양해서 좋아요. 고기는 다른 리뷰보고 꽃삼겹살 시켰는데 진심 너무 맛있어요🥺 미친미친 육즙 미쳤어요ㅜㅜㅜㅜ 계란찜은 제발 모두가 드셔야합니다. 밀도가 미쳤어요 츄릅 직원 분들도 친절하십니다🫶 감동 포인트가 한둘이 아니네요ㅜㅜ다음에 또 올게요 / 대흥역에 있는 경의선숲길 고기집 리정원 대흥직영점! 오픈한지 얼마 안됐는데도 웨이팅 하는덴 이유가 있죠😆 인테리어는 물론 정갈한 반찬, 맛있는 고기와 사이드메뉴까지 머무르는 내내 만족스러웠던 식당입니다☺️ 깔끔하고 맛있는 한식당, 고기집 찾으신다면 추천해요🫶💓 / 새롭게 생긴 것 같아 처음 방문했어요~ 일단 반찬으로 김치전이랄 양념개장이 포한되어 있어서 좋았어요. 고기는 직접 구워먹는데, 올려주시면서 소스 설명이랑 맛있게 먹는 방법 알려주셔서 좋네요~best 메뉴 꽃삼겹살 시켰습니다! / 시설은 오픈한 지 얼마 안 되어 깔끔했어요. 고기랑 반찬도 맛있구요. 냉면에 까다로운 아이가 냉면도 맛있다고 하네요.  홀에 여직원분 너무 친절하시고 일 너무 잘하시는데  인력이 부족해서 너무 바빠보여서 안쓰러울 정도였어요. 그래서 서비스가 바로바로 되지 않아 불편했습니다.ㅜㅜ 직원수를 늘리셔야 할 것 같네요.",음식이 맛있어요,고기 질이 좋아요,인테리어가 멋져요
31394999,호밀밭,4.61,카페,신촌사이 알흠답게 맛있는 빙수집,"커플 디저트로 1빙수 1치즈케이크 괜찮았어요👍👍 팥 알이 엄청 살아있는 편인데 저희는 '크게 상관없다'vs'아니다 더 뭉개져야 한다'로 재밌게 옥신각신했네요🤭🤭 / 오랜만에 가보니 신메뉴 흑임자빙수가 나왔습니다. 미니약과 위에 팥과 떡을 얹어 빙수와 같이 먹으니 고소달콤시원 맛있습니다. / 오랜만에 방문했는데 여전히 팥이 탱탱하고 떡도 너무 맛있고 좋아요. 그리고 티 시켰는데 차가운거 먹고 마시니 좋았어요 / 만삭사진 촬영 후 팥빙수 먹는다고 신촌으로..ㅎㅎ  곱게 갈린 우유얼음에  적당히 달달하고 오동통한 단팥 조화가 아주 좋네요~  주차는 신촌역 옆 공영주차장에 하면되고, 1회에 한해서 팥과 떡이 무료리필 가능합니다.  팥빙수 좋아하면 추천추천!! / 워낙 명소인데 드디어 방문했습니다  역시 명불허전 이네요 밀크빙수 특히 강추입니다 입자가 너무곱고 팥도 부담없이 너무 맛나더라구요 가격대도 아주 좋아요",디저트가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요
652463590,스페인식당 더크래프트,4.76,스페인음식,,해산물 요리의 끝판왕...꿀대구 요리는 대구살이 촉촉하면서 단백하고 소스에 꿀맛이 같이 어우려져 생선이랑 안친한 저에게 신선한 충격:) 음식 자체가 신선해서 해산물 좋아하시는뷴들 강추 가볍게 와인이나 맥주 데이트 하기 너무 좋아요❤️❤️ / 원래도 자주 찾던 맛집인데 리뉴얼하면서 새로운 메뉴들이 정말 특별합니다. 맛도 좋은데 예쁘기까지 한 메뉴 라 자꾸 시키게 되네요 :) 장사천재백사장에서 나온 핀초 메뉴와 차콜리까지 준비돼있어 이국적인 분위기가 물씬 나네요!! / 드디어 오픈을 했네요. 아 기다리고 기다리던 … 동네 맛집.  새로운 스타일 넘 힙해요!! 아현동 업그레이드 느낌 !!  핀초바 라니 바르셀로나가 따로 없네요!! 오늘은 맛만 봤지만 조만간 또 옵니다!! 빨리 와인 준비해 주세요~~~~~ / 아현동에도 드디어 돼지곰탕이!! 합정동까지 늘 다녔는데 이젠 그럴일 없겠네요. 낮엔 제주도 저녁엔 스페인 넘 신선하다 생각했는데 와서 먹어보니 알겠네요. 덥지만 몸보신 잘 하고 가요!!  믿고 먹는 점심 집이 생겨 너무 좋습니다. / 지나가는 길에 특이한 컨셉의 음식점이라 방문했습니다 돼지곰탕이라는 메뉴가 신선했고 맛도 깔끔하고 너무 맛있게 먹었습니다  그리고 가게 직원분들및 사장님께서 너무친절하시고 물어보는거에 성심성의껏 대답해주시는 모습이 너무 감사했습니다.  스페인 음식점이라는 곳이 아직은 좀 낯설지만 한번 여기서 걍험해보시면 그 매력에 빠져 금방 단골이 될것같네요,음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
37718603,옥루몽 신촌본점,,빙수,식약처 인증 위생등급 매우우수 음식점,어쩜 이렇게 맛있을까요!!! 너무너무 맛있어요❤ 서울 최고 아니 대한민국 최고 팥빙수 맛집이에요!! / 여름 팥빙수는 옥루몽이지! 고급진 맛! / 날씨가 더워 팥빙수 맛집을 찾다가 발견한 곳인데  와 …… 진짜 제가 먹어본 팥빙수중에 최고입니다 / 빙수가 맛있었어요~ 궁금해서 시킨 모나카와도 조화가 좋네요 🙂 / 빙수와 모나카 너무 맛있어요~,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요
37637684,마더린러 베이글,,베이글,,"생활의달인 마더린러 본방을 봤었어요!! 그때부터 보고 별 찍어두고 가봐야지 했던 곳이라고 남자친구한테도 말했었는데 남자친구가 그걸 기억했다가 근처 지날때 마더린러 데려가줬어요ㅠㅠㅠㅠㅜ🥹  원래 베이글을 좋아해서 유명베이글집 많이 가봤는데, 마더린러 쫄깃한 식감이 매력적이고 첨가제가 안들어갔다고 해서 안심하고 먹었습니다 남자친구는 블루베리베이글 + 블루베리크림치즈 저는 훈제연어 크림치즈 먹었는데 반반 먹으니 단짠의 조화가 좋았습니다  다음에는 좀 일찍와서 여러종류 맛보고싶어요 ♥ / 연어 샌드위치랑 블루베리베이글+크림치즈 조합 시켜보았어요 매장 안에선 취식이 안 되어서 근처 공원에서 맛있게 먹었습니다 ㅎㅎ 커피도 맛있고 무엇보다 베이글이랑 조합이 좋았어요! 저장만 해 놓고 가야지 벼르던 곳인데 드디어 방문했네요 퐁실하고 가벼운? 식감보다 이렇게 밀도 높은 베이글 정말 좋아하는데 ㅎㅎㅎ 조만간 또 방문해서 다른 크림치즈랑 베이글 조합으로 먹어보려구요 / 치킨샐러드베이글 치킨+양념+야채조합이 좋음. 소스는 느끼하거나 맛없지않고 딱 깔끔함. 주문즉시 만들어서 주기때문에 더맛있음. / 신촌에서 유명한 베이글집이 있길래 방문해봤습니다 다른 유명 베이글 집보다는 아주 살짝 저렴한거 같았고 크림치즈 종류가 다양해서 곁들여 먹기 좋았어요!  늦은 오후에 방문했더니 먹어보고싶은 메뉴가 다 품절이여서 남은거 중에 선택해야해서 조금 아쉬웠어요 다음에 기회가 된다면 재방문해서 먹어보고싶은 조합으로 다시 먹어봐야겠어요 / 포장 가게라 주문후 5분만에  포장해주셨어요.  맛 기대 커서그런가 무난합니다. 제가 좋아하는 꾸덕꾸떡한 크림치즈에 베이터를 넣은 낫쏘 샌드위치를 주문  빵은 에브리띵으로 변경해서 주문해봐야겠어요 빵은 겉바속푹 이였습니다.  비기와서 그런가 ..   여러가지먹어보거 또 리뷰할께요",빵이 맛있어요,특별한 메뉴가 있어요,친절해요
1960457705,하늘초밥,4.64,"초밥,롤",,"맛있어요. 재료 신선하고 깔끔하고 구성도 좋고 매우 맛있습니다. 친절하고 굿굿 메뉴판에 주류는 다 안적혀 있는데 냉장고에 샴페인이며 등등 여러 술 많아요. 판매하고 있다고 하고 콜키지는 병당 15,000원이라고합니다.  담에 또오면 샴페인에 먹고싶어요. / 하늘초밥 정말 작았을 때부터 갔는데 2년동안 성장하고 2호점까지 내셨네요 ㅎㅎ  2년 전 정도에는 저는 초밥은 정말 맛있었지만 불만족한 부분도 많았는데요 이제는 그런 부분보다 사장님이 친절하시고 발전하고 손님 편의에 최대한 맞춰주시려는 부분이 감사하고 눈에 들어오네요  이사가기 전에 정말 맛있고 즐겁게 먹고 갔습니다  점점 발전하고 익숙해지시는 것 같아요  다시 이 근처로 이사 올 때는 빌딩 사서 건물 통채로 하늘초밥집이기를 기원하며 ~~  +) 술이랑 밥을 잘 안 곁들여먹는데 하늘초밥의 잔술 온사케는 정말 강추합니다 ~~ 위장이 안 좋은데 온사케는 그냥 차처럼 마시면 되어서 너무 너무 좋아요 !! 초밥이랑 먹으면 조합 와따에욤  사장님 번창하세요 화이팅 !! / 제일 좋아하는 초밥집이에요.처음부터 성공하실줄 알았어요. 줄서서 한번 포장한 이후 여럿이줄서서 가면 못먹길래 혼자서도 달려간 맛집이죠ᆢ못먹는것 적는 메모지도 넘 좋구요. #하늘초밥 현장이 역시 맛나네~ #배려 맛나요 👍👍👍👍👍👍👍👍👍👍👍👍👍👍 2호점 축하드리구요ᆢ맛나게 흡입하다 사레걸려서ᆢ밖으로 잠시 탈출 ㅋㅋ 들어오니 연기 모락모락 나는 진한녹차ᆢ한잔도 주셨네요. ' ◡ ' 세심함에 감사합니다. 하늘초밥 대박날줄 알았어요ᆢ👍 / 토요일 오후 5시 25분에 웨이팅 하기 시작해서 오후 6시 정각에 들어갔어요(35분 웨이팅). 별관이 생겨서인지 생각보다 웨이팅을 길게 하지 않았어요. 제 차례가 되면 전화를 해 주시기때문에 앞에서 무작정 기다리지 않아도 돼서 좋았어요.  입장 순서가 돼서 본관에 들어가면 주문을 먼저 하고, 빈 자리를 안내해 주십니다. 저희는 별관으로 안내받았어요.  초밥은 욕심쟁이(30pc, 57000원)를 먹었어요. 여자 두 명이서 딱 배부른 양입니다. 제가 살면서 먹은 판초밥중에 제일 맛있었어요!! 특히 흰살생선이 숙성이 잘 되어서 쫄깃하면서 고소하더라고요🤍 청어도 가시가 잘 발려있고 칼집이 나 있어서 부드러웠어요. 그리고 트러플 연어가 진촤...😍 전체적으로 퀄리티 높고 맛있었습니다! 술이랑 즐기러 또 올게요☺️ / 전부터 가 보고 싶었는데 시간이 맞지 않아 가지 못했었어요. 그러다 브레이크가 고장 나서 브레이크 없이 운영한다는 인스타 공지 보고 달려갔습니다. 주문 시 못 먹는 초밥 물어보시고 그거에 맞게 구성 변경해 주셨는데 딱 제가 좋아하는 초밥들로 구성해 주셨어요.  (사실 별로 안 좋아하는 생선도 있었는데 그마저도 너무 맛있었습니다) 첫 느낌 “네타가 달다!”였습니다. 비린내도 전혀 느껴지지 않았고 식감도 너무 좋았습니다. 이후 연어와 가리비 관자를 추가했는데 연어회를 조금 서비스로 주셨어요. 정말 맛있게, 입에서 살살 녹는다는 게 무슨 의미인지 느끼며 감사히 먹었습니다. 기분 좋게 식사하였고 다음에도 브레이크 고장 나면 다시 방문할 예정입니다. 아, 직원분들도 정말 친절하십니다!",음식이 맛있어요,재료가 신선해요,친절해요
1513933475,오르랔베이커리,4.57,베이커리,종류의 크러핀이 맛있는 베이커리카페,"푸딩이랑 소금빵을 시켜먹었습니다. 다른 빵집과 다른점은 빵과 푸딩을 가져오면 세팅을 해준다는 점이었어요. 소금빵은 오븐 같은 기계에서 다시 데워서 바삭함이 더욱 살아났고, 푸딩은 통에 있는 푸딩을 접시에 세팅하고 주셔서 좋았어요. 푸딩의 퀄리티와 소금빵의 퀄리티는 둘 다 좋았습니다. 감성있는 플레이팅과 빵을 오븐에 돌려줘 빵 맛이 살아나 좋았던 빵집입니다! / 소금빵 디저트 후렌치 파이가 맛있어요! 음료도 그렇구  오.후.파 + 카스테라 소금빵  매실 에이드 + 오미자차ice   주문했는데요!   오.후.파 = 오르락 베이커리 후렌치 파이 줄임말 페스츄리라서 한겹 한겹 뜯어 먹는 재미도 있고 딸기잼이 가득들어서 달달 구리하게 먹기 좋아요.   카스테라 소금빵은 겉에는 소금빵이라 짠 맛인데,  그 보통 베이커리가면 카스테라모냥 저렇게 가루 뿌려져있고 안에 생크림들어간 길쭉한 빵 아시죠? 그 빵 안에 커스터드 크림 들어가있고 겉에가 짠 맛이라고 생각하시면 됩니다.   단짠한 맛 좋아하시는 분들 추천!  주문한 빵 2개 다 달달구리 인데 음료가 새콤해서  잘 어울렸습니다 :)   사진에서 본 공간과 달리 내부가 컸어요. 아늑하기 도 했고! 재방문 의사 있어요. 👍🏻 / 인테리어가 너무 예쁩니다 일층은 빵 팩토리라서 자리는 없고 이층에서 구입해서 삼층에서 먹을 수 있습니다 소금 빵이 유명한 거 같고 그 외에도 베스트 메뉴가 많이 있어서 좋아요 / 오르랔 베이커리 맛있다고 추천받고 기대하며 왔어요!! 카스테라 소금빵 크림이 진짜 부드럽고 풍부한 맛! 딸기크림 크러핀도 겹겹이 빵과 딸기크림의 조화가 좋았어요. 빵 하나하나 크기가 커서 꽤나 배가 차요. 미트파이는 개인당 2개만 구매가능했는데 머스타드에 찍어먹으니 고기 풍미가 좋아요,,,미트파이 맛집입니다. 너무 맛있어서 그대로 한세트 더 집에 포장해왔어요. 오르랔 사주는 남자친구는 참사랑입니다😍❤️ㅋㅋㅋ 테이블도 많고 이야기하기 좋은 공간입니다. 빵이 다양해서 선택권 많아요. 음료 잔이 예뻐서 욕심나요. 커피 오트로 변경도 가능해서 좋았어요. 겉모습은 예쁜데 빵 단면 사진은 설레요. 근처라서 담에 또 올거예요!!! / 빵은 종류도 많고 맛있었구 인테리어도 멋졌는데 직원분들 불친절한 태도와 마스크없이 기침, 장갑없이 빵맨손으로 만지기, 빵포장봉지 맨손으로 손넣기, 모자없이 모든 음식제조 등 비위생적인 모습에서 경악했습니다 음.. 두번은 안갈듯 하네요",빵이 맛있어요,특별한 메뉴가 있어요,친절해요
11880458,목란,,중식당,동파육과 멘보샤가 유명한 이연복쉐프 중식당,"정말 운좋게 예약하고 맛있는 식사했어요. 저희는 식사속도가 많이 늦는편이라.. 미리말씀드렸어야했는데 이야기를 못드렸더니 요리가 너무 빨리나와서 먹느라 바빴던점이 조금 아쉬웠어요ㅠㅠㅎㅎ 혹시 식사속도가 늦는분들은 조금.천천히 내달라고하거나 코스 마지막 순서인 짜장 짬뽕이라도 천천히 나와달라거 요청드리는게 좋을것같아요 !!ㅎㅎ / 가족 행사로 한달 전에 전화로 예약 후에 방문 했습니다. 명성 만큼이나 멘보샤와 동파육이 정말 맛있었어요:) 코스B를 먹었는데, 보통 코스 요리 먹을땐 직원분이 인원수 만큼 개인 접시에 덜어주시곤 하는데, 목란은 그렇지 않더라구요. 8명이 방문 했는데, 큰 접시 하나에 덩그러니 주셔서 그런 점이 좀 아쉬웠어요.  그래도 가성비 좋았습니다 :) / 하하 드디어 목란에 방문했습니다😎 어버이날 기념으로 가족들과 다녀왔어요. 사전예약으로 동파육,멘보샤, 유린기 주문하고 추가로 짬뽕과 짜장면도 먹었습니다. 부모님과 저희 모두 간이 자극적인 걸 좋아하지 않아서 MSG없는 본연의 중식 맛에 너무 만족했어요! 짜사이도 맛있어요...! 멘보샤는 정말 빵은 얇고 다진새우가 빼곡히 들어가있더라구요😭💛 이연복 셰프님은 멀리서라도 빼꼼 뵀습니다...ㅎㅎ / 예약이 힘들 줄 알았는데 여유있게만 준비 하면 예약은 힘들지 않은것 같아용! 주차가 한대밖에 안되는 점은 좀 아쉬워요ㅠㅠ주차 공간이 협소해서 그런듯,, 성인 5인 기준으로 몽골리안비프(대),동파육(대),칠리새우,멘보샤(소) 이렇게 시키고 식사메뉴 4개 시켰는데 막 엄청 배부르게 먹었다 이런 느낌은 아니고 그냥 알맞게 먹은 느낌 이였어요! 양이 막 엄청 많지는 않은것 같아요 전체적으로 간이 쎄지 않고 덜 기름진듯한 느낌이에요! 중국 음식은 먹고 나면 약간 속이 더부룩 하고 몸이 무거운 느낌인데 속 불편한 느낌이 없어서 좋네용 / 어버이날에 맞춰 사전예약 하고 방문한 목란입니다.  사전예약 메뉴로는 멘보샤 주문했구요.. 멘보샤는 겉바속촉이긴 했는데... 그냥 먹기엔 좀 느끼한편이었구요~ 칠리소스 찍어먹으니 맛있네요.  식사는 B코스로 먹었는데 적당한  양에 재료는 신선하였고 특히 다른 요리들에 비해 저는 짜장면이 맛있 었네요..ㅎㅎ  예약이 엄청 어렵다는 말이 많았지만 평일이라 그런지 저는 전화한통화로 바로 예약했네요...  전체적으로 만족스러운 식사였고 다음에 기회가 된다면 탕수육이랑 동파육 먹으러 한번 더 방문해보고 싶네요.",음식이 맛있어요,특별한 메뉴가 있어요,친절해요
